epoch,train_loss,val_loss,val_acc,lr,time_sec
1,0.603666,0.563555,0.7069,1.00e-03,3.9
2,0.538109,0.542692,0.7053,1.00e-03,4.1
3,0.498052,0.573118,0.7163,1.00e-03,3.8
4,0.485380,0.525710,0.7226,1.00e-03,4.2
5,0.455854,0.499375,0.7429,1.00e-03,3.8
6,0.431401,0.529837,0.7790,1.00e-03,3.7
7,0.410403,0.485402,0.7633,1.00e-03,4.1
8,0.387004,0.558434,0.7665,1.00e-03,3.8
9,0.365081,0.502495,0.7759,1.00e-03,4.3
10,0.348287,0.542350,0.7774,1.00e-03,3.7
11,0.321282,0.519189,0.7727,1.00e-03,3.9
12,0.307977,0.494182,0.7900,1.00e-03,4.3
13,0.290132,0.580044,0.7947,1.00e-03,3.9
14,0.259464,0.582911,0.7853,5.00e-04,4.2
15,0.236934,0.598040,0.7868,5.00e-04,3.8
16,0.239554,0.619096,0.7900,5.00e-04,3.8
17,0.227351,0.636647,0.7806,5.00e-04,4.3
